news_id,news_type,news_leibie,news_type_des,news_url,news_title_show,news_tag_img,news_star_time_show,news_end_time_show,contain_kwd_fujian,news_diqustr,news_zbje_show,news_zhongbiaojine_show,is_xiangmu,news_gczj_show,news_jieduan_show,news_cgfs
295352341,1,1,招标公告,//www.bidcenter.com.cn/news-295352341-1.html,湖南信息职业技术学院：全民数字素养与技能培训基地建设采购需求公开,,2024-07-04,--,内容,湖南,2.8万元,--,false,--,,--
295343847,1,2,招标公告,//www.bidcenter.com.cn/news-295343847-1.html,仁怀五中外国语学校二期教学设备及学生食堂设备购置需求公示,2,2024-07-04,--,内容或附件,贵州,5236.09万元,--,false,--,,--
295324606,1,1,招标公告,//www.bidcenter.com.cn/news-295324606-1.html,互助县职业技术学校计算机专业实训室及监控建设项目的竞争性磋商公告,2,2024-07-04,2024-07-15,内容或附件,青海,150.22万元,--,false,--,,竞争性磋商
295319422,1,2,招标公告,//www.bidcenter.com.cn/news-295319422-1.html,湖南湘江新区管理委员会自然资源和规划局：湖南湘江新区自然资源和规划智慧平台项目采购需求公开,,2024-07-04,--,内容,湖南,431.93万元,--,false,--,,询价
295309361,1,2,招标公告,//www.bidcenter.com.cn/news-295309361-1.html,西藏农牧学院图书馆2024年国外版图书采购项目询价函,,2024-07-04,--,内容,西藏,12万元,--,false,--,,询价
295303694,1,1,招标公告,//www.bidcenter.com.cn/news-295303694-1.html,长沙学院长沙学院智能制造工程实训系统——国产设备部分采购项目招标公告,2,2024-07-04,2024-07-25,内容或附件,湖南,98.8万元,--,false,--,,公开招标
295280069,1,2,招标公告,//www.bidcenter.com.cn/news-295280069-1.html,浙江省国际技术设备招标有限公司关于湖州师范学院教师教育学院数字化阅读与学习科学实验室设备采购的公开招标公告,1,2024-07-04,2024-07-25,内容或标书,浙江,150万元,--,false,--,,公开招标
295271414,1,2,招标公告,//www.bidcenter.com.cn/news-295271414-1.html,2024赛季《青少年航天创新大赛》等白名单赛事设备相关采购竞采公告,2,2024-07-04,--,内容或附件,重庆,2.77万元,--,false,--,,竞价
295201297,1,2,招标公告,//www.bidcenter.com.cn/news-295201297-1.html,工业和信息化部电子第五研究所侧信道攻击和故障注入分析工具采购项目采购公告,2,2024-07-04,2024-07-08,内容或附件,北京,90万元,--,false,--,,--
295150048,1,2,招标公告,//www.bidcenter.com.cn/news-295150048-1.html,浙江天正项目管理咨询有限公司关于天台县图书馆网络安全采购项目的公开招标公告,1,2024-07-04,2024-07-25,内容或标书,浙江,37万元,--,false,--,,公开招标
295309497,1,1,招标公告,//www.bidcenter.com.cn/news-295309497-1.html,成都市锦江区教育局电化教育馆2024年智慧教育应用场景建设教学设备采购项目三次公开招标采购公告,2,2024-07-04,2024-07-25,内容或附件,四川,46.02万元,--,false,--,,公开招标
